FRANKLIN,338,-7.40,2515422,-8.67
FRAZIER CHARTER,392,-3.92,2994407,-2.44
FRAZIER PROSPECTIVE,244,-3.17,2054978,-9.61
FULLER,322,-7.20,2407371,-1.96
FULTON,306,-7.83,2603951,-7.72
FUNSTON,344,-12.02,3331576,-0.25
GAGE PARK HS,293,-12.80,2935806,-14.22
GALE,302,-6.50,3200262,-1.84
GALILEO,566,-1.91,4215664,3.34
GALLISTEL,721,-11.64,6609421,-2.47
GARVEY,202,-1.94,1639743,-6.23
GARVY,789,-0.13,5204207,-0.03
GARY,1051,-1.13,8123609,4.40
GILLESPIE,482,-5.30,3920760,-3.03
GLOBAL CITIZENSHIP,461,0.00,3353241,3.58
GOETHE,665,-1.63,4737001,-2.06
GOODE HS,850,-1.28,7111858,2.20
GOUDY,626,-5.58,5007946,-1.11
GRAHAM ES,383,-6.59,2915302,-2.91
GRAHAM HS,122,2.52,3214395,0.56
GRAY,1118,-2.61,8149731,-0.28
GREAT LAKES,301,19.92,2178900,20.07
GREELEY,540,-4.93,4329708,0.08
GREEN,336,-1.18,2829814,-7.50
GREENE,477,-8.80,3652944,-8.50
GREGORY,298,-5.70,2641228,-0.71
GRESHAM,305,-1.61,2443643,3.58
GRIMES,420,-2.10,2968258,-2.68
GRISSOM,328,-2.38,2557428,3.07
GUNSAULUS,723,2.41,5489918,7.99
HAINES,643,0.78,4329718,2.93
HALE,942,0.64,6790624,-0.85
HALEY,514,-3.93,4335422,-4.30
HAMILTON,444,-2.84,2779528,-2.15
HAMLINE,547,-2.32,4383050,-1.73
HAMMOND,371,-7.02,3028512,-5.57
HAMPTON,545,-3.20,4576557,2.12
HANCOCK HS,956,7.17,7162361,3.84
HANSON PARK,1356,-0.15,11816375,-2.32
HARLAN HS,367,-24.17,4392552,-19.96
HARPER HS,130,-22.16,1877869,-26.69
HARTE,272,-9.03,2443323,-4.80
HARVARD,352,-10.66,3082992,-2.09
HAUGAN,784,-7.33,6218722,-4.08
HAWTHORNE,576,0.17,4068914,4.35
HAY,314,-11.80,2321401,-10.34
HAYT,912,-2.56,6842120,5.32
HEALY,1411,1.07,9504285,0.96
HEARST,296,-1.33,3661631,-1.01
HEDGES,578,-6.92,4498069,-4.70
HEFFERAN,279,-9.71,2630877,-6.61
HENDERSON,218,-10.29,1763785,-6.98
HENDRICKS,203,1.00,2338765,12.39
HENRY,439,-7.77,3290943,-6.36
HERNANDEZ,1046,0.10,7508956,6.12
HERZL,545,4.81,4849647,12.46
HIBBARD,872,-7.14,6610665,-4.95
HIGGINS,227,-12.36,2050267,-15.74
HIRSCH HS,121,-19.87,1606204,-17.10
HITCH,544,-1.81,3860412,-0.13
HOLDEN,445,-2.63,3481012,-5.00
HOLMES,167,-7.22,1526656,-0.75
HOPE HS,119,-12.50,2161446,1.95
HOPE INSTITUTE,349,-4.38,3379924,3.16
HORIZON  SOUTHWEST,695,4.04,5832714,9.80
HOWE,439,-4.36,3349200,1.11
HOYNE,252,0.80,1940116,1.64
HUBBARD HS,1819,2.65,15278619,2.07
HUGHES C,217,-3.98,1724053,0.76
HUGHES L,350,-11.17,4200754,-4.53
HURLEY,772,-4.10,5507446,-2.34
HYDE PARK HS,673,-9.66,6572707,-8.87
INFINITY HS,428,4.65,3693732,-0.90
INSTITUTO  HEALTH,672,-11.46,6327086,-5.35
INSTITUTO  LOZANO HS,78,-19.59,691783,-15.44
INSTITUTO  LOZANO MASTERY HS,38,11.76,283965,-8.30
INTERAMERICAN,662,4.09,4730541,12.59
INTRINSIC HS,958,-3.13,8309102,0.55
IRVING,414,-7.38,3341443,-9.41
JACKSON A,562,0.18,4028686,3.76
JACKSON M,270,-4.93,2737838,-1.95
JAHN,256,-7.91,2248467,-3.33
JAMIESON,816,-1.81,6527456,0.55
JEFFERSON HS,282,8.88,2942891,0.86
JENNER,216,-1.82,2000261,-12.22
JENSEN,384,-4.00,3058758,-1.65
JOHNSON,395,-2.71,3081130,1.73
JONES HS,1829,0.55,12342491,2.89
JOPLIN,350,-6.17,2913824,2.55
JORDAN,429,-6.94,3621494,-4.91
JUAREZ HS,1717,6.85,13876665,4.37
JULIAN HS,520,-17.59,5359052,-17.68
JUNGMAN,264,-0.38,2754291,0.44
KANOON,612,-4.52,4702763,0.62
KELLER,238,-1.24,1746036,9.90
KELLMAN,283,-8.12,2088588,-0.96
KELLOGG,245,-2.00,2161766,-0.10
